# Code, Airline, Cabin Class, Booking Class Category, is Frequent Flyer
Y,MN,E,NON-REFUNDABLE,FALSE
B,MN,E,NON-REFUNDABLE,FALSE
H,MN,E,NON-REFUNDABLE,FALSE
K,MN,E,NON-REFUNDABLE,FALSE
V,MN,E,NON-REFUNDABLE,FALSE
S,MN,E,NON-REFUNDABLE,FALSE
Q,MN,E,NON-REFUNDABLE,FALSE
O,MN,E,NON-REFUNDABLE,FALSE
I,MN,E,NON-REFUNDABLE,FALSE
E,MN,E,NON-REFUNDABLE,FALSE
W,MN,E,NON-REFUNDABLE,FALSE
L,MN,E,NON-REFUNDABLE,FALSE
A,MN,E,NON-REFUNDABLE,FALSE
P,MN,E,NON-REFUNDABLE,FALSE
T,MN,E,NON-REFUNDABLE,FALSE
D,MN,E,NON-REFUNDABLE,FALSE
J,MN,E,NON-REFUNDABLE,FALSE
G,MN,E,NON-REFUNDABLE,FALSE
C,MN,E,NON-REFUNDABLE,FALSE
R,MN,E,NON-REFUNDABLE,FALSE
Z,MN,E,NON-REFUNDABLE,FALSE
X,MN,E,NON-REFUNDABLE,FALSE
