# ConfigurationProperty:
# key, value, scopeCode (D,E,A,S), environment, ipcc
#
# key1,value1,D,null,null
# key2,value2,A,null,null
# key3,value3,S,null,Y4Y4

# adapter.gds.configuration.xml
# bean id="gds.sabre.configuration.booking" 
gds.sabre.booking.checkForPriceDiscrepancy,false,D,null,null
gds.sabre.booking.runPosCommand,true,D,null,null
gds.sabre.booking.useOriginCountryCurrency,true,D,null,null
gds.sabre.booking.asr.close.shortened.useOptimizedQuery,true,D,null,null
gds.sabre.booking.asr.close.shortened.optimizedQueryQualifier,N,D,null,null
 
# bean id="gds.sabre.configuration.command.printer" 
gds.sabre.command.assignTicketPrinter.ticketStock,2A,D,null,null
gds.sabre.command.assignTicketPrinter.useBookingPseudoCity,true,D,null,null
gds.sabre.lniata.number,7792E2,D,null,null
gds.sabre.station.number,00000221,D,null,null
gds.sabre.hardcopy.printer,7792E2,D,null,null
 
# bean id="gds.sabre.configuration.gds"
gds.sabre.command.osi.add.airline,PG,D,null,null
gds.sabre.command.pos,ZDH,D,null,null
gds.sabre.command.useBookingPCC,true,D,null,null
gds.sabre.command.purchaseCityCode,ZDH,D,null,null
gds.sabre.command.ssr.passport.displayGenderInCommand,false,D,null,null
gds.sabre.command.ssr.passport.useRequestedPaxTypeIfInfant,true,D,null,null
gds.sabre.command.ssr.meal.requestPerSegment,true,D,null,null
gds.sabre.command.ssr.infant.useDateOfBirth,true,D,null,null
gds.sabre.command.book.bookRequestCreator.skipBookingClassSearchIfAlreadySet,true,D,null,null
gds.sabre.command.seatNumber.normalize,true,D,null,null
### Always not redefined ...
#gds.sabre.command.ssr.passport.carryingInfantIndicator,null,D,null,null
###
gds.sabre.queue.instructionCode,41,D,null,null
gds.sabre.ff.adddetails,false,D,null,null
gds.sabre.ssr.fillBookingWithFeatures,true,D,null,null
gds.sabre.travelInfo.formatContactNumber,false,D,null,null
gds.sabre.ws.cdi.target.environment,CERTIFICATION,D,null,null
gds.sabre.ws.maxRemarkLength,70,D,null,null
gds.sabre.command.book.bookRequestCreator.frequentFlyerBookingClassOverride,X,D,null,null
gds.sabre.command.ssr.infant.inftSsrFormat,4INFT/%s/%s/%s-%s,D,null,null
gds.sabre.command.shopping.brandedIntellsellRequestType,BRDFARES,D,null,null
gds.sabre.command.mm.airlineBrandingRequest.carrierCode,F7,D,null,null

# bean id="gds.sabre.configuration.travelbank" 
gds.sabre.command.travelBank.updatePassword,true,D,null,null
 
# bean id="gds.sabre.configuration.aer" 
gds.sabre.command.aer.checkBucketTag,true,D,null,null
 
# bean id="gds.sabre.configuration.payment" 
psp.sabre.paymentRequestCreator.merchantId,PG,D,null,null
psp.sabre.paymentRequestCreator.merchantName,Fly Baboo Airways,D,null,null
 
# bean id="gds.sabre.configuration.fare" 
gds.sabre.daysInFuture,331,D,null,null
gds.sabre.fareRule.retries,3,D,null,null
search.availability.filterNonEticketableFlights,false,D,null,null
gds.sabre.retrieveAdditionalFlightInfo,false,D,null,null
gds.sabre.forceRetrieveAdditionalFlightInfo,false,D,null,null
gds.sabre.flight.caching.sendVendorPrefs,true,D,null,null
gds.sabre.command.shopping.calendar.numoneways,20,D,null,null
gds.sabre.command.shopping.branded.numoneways,20,D,null,null
gds.sabre.command.shopping.branded.maxnumoneways,100,D,null,null
gds.sabre.command.shopping.calendar.numdays,3,D,null,null
gds.sabre.command.fare.type,ALL,D,null,null
gds.sabre.flight.caching.date.format,%1$4d-%2$02d-%3$02dT00:00:00,D,null,null
gds.sabre.timeZone,Asia/Dubai,D,null,null
 
# bean id="gds.sabre.configuration.https" 
gds.sabre.https.policy.connectionType,KEEP_ALIVE,D,null,null
gds.sabre.https.policy.allowChunking,false,D,null,null
 
# bean id="gds.sabre.configuration.pricing" 
gds.sabre.pricing.indicatePointOfSale,true,D,null,null
gds.sabre.pricing.retainPricing,false,D,null,null
gds.sabre.command.price.requestCreator.alwaysUseCNNforChildPassengerType,true,D,null,null
gds.sabre.command.price.requestCreator.skipSegmentEvaluation,true,D,null,null
gds.sabre.command.price.requestCreator.redemptionTicketDesignator,TBFFP,D,null,null
gds.sabre.command.pricing.forceIgnoreOnEntry,true,D,null,null
## Always not redefined ... 
#gds.sabre.command.price.requestCreator.purchaseCityCode,_MISSING_VALUE_,D,null,null
##

# bean id="gds.sabre.configuration.sessionFactory" 
sabre.session.CPAId,PG,D,null,null
sabre.session.username,5128,D,null,null
sabre.session.password,ssweb9pg,D,null,null
sabre.session.organization,PG,D,null,null
sabre.session.domain,PG,D,null,null
 
